ID,Date,type,value
1,2020-02-27,Cumul de personnes avec analyses négatives,91
1,2020-02-27,Cumul de cas confirmés,1
2,2020-02-28,Cumul de personnes avec analyses négatives,104
2,2020-02-28,Cumul de cas confirmés,1
3,2020-02-29,Cumul de personnes avec analyses négatives,138
3,2020-02-29,Cumul de cas confirmés,1
4,2020-03-01,Cumul de personnes avec analyses négatives,189
4,2020-03-01,Cumul de cas confirmés,1
5,2020-03-02,Cumul de personnes avec analyses négatives,203
5,2020-03-02,Cumul de cas confirmés,1
6,2020-03-03,Cumul de personnes avec analyses négatives,203
6,2020-03-03,Cumul de cas confirmés,1
7,2020-03-04,Cumul de personnes avec analyses négatives,242
7,2020-03-04,Cumul de cas confirmés,2
8,2020-03-05,Cumul de personnes avec analyses négatives,260
8,2020-03-05,Cumul de cas confirmés,3
9,2020-03-06,Cumul de personnes avec analyses négatives,303
9,2020-03-06,Cumul de cas confirmés,3
10,2020-03-07,Cumul de personnes avec analyses négatives,340
10,2020-03-07,Cumul de cas confirmés,4
11,2020-03-08,Cumul de personnes avec analyses négatives,376
11,2020-03-08,Cumul de cas confirmés,4
12,2020-03-09,Cumul de personnes avec analyses négatives,465
12,2020-03-09,Cumul de cas confirmés,5
13,2020-03-10,Cumul de personnes avec analyses négatives,570
13,2020-03-10,Cumul de cas confirmés,8
14,2020-03-11,Cumul de personnes avec analyses négatives,798
14,2020-03-11,Cumul de cas confirmés,13
15,2020-03-12,Cumul de personnes avec analyses négatives,1079
15,2020-03-12,Cumul de cas confirmés,17
16,2020-03-13,Cumul de personnes avec analyses négatives,1399
16,2020-03-13,Cumul de cas confirmés,24
17,2020-03-14,Cumul de personnes avec analyses négatives,2270
17,2020-03-14,Cumul de cas confirmés,39
18,2020-03-15,Cumul de personnes avec analyses négatives,3079
18,2020-03-15,Cumul de cas confirmés,50
19,2020-03-16,Cumul de personnes avec analyses négatives,4778
19,2020-03-16,Cumul de cas confirmés,74
20,2020-03-17,Cumul de personnes avec analyses négatives,5213
20,2020-03-17,Cumul de cas confirmés,94
21,2020-03-18,Cumul de personnes avec analyses négatives,6331
21,2020-03-18,Cumul de cas confirmés,121
22,2020-03-19,Cumul de personnes avec analyses négatives,7666
22,2020-03-19,Cumul de cas confirmés,139
23,2020-03-20,Cumul de personnes avec analyses négatives,9242
23,2020-03-20,Cumul de cas confirmés,181
24,2020-03-21,Cumul de personnes avec analyses négatives,9786
24,2020-03-21,Cumul de cas confirmés,219
25,2020-03-22,Cumul de personnes avec analyses négatives,11211
25,2020-03-22,Cumul de cas confirmés,628
26,2020-03-23,Cumul de personnes avec analyses négatives,12202
26,2020-03-23,Cumul de cas confirmés,1013
27,2020-03-24,Cumul de personnes avec analyses négatives,26634
27,2020-03-24,Cumul de cas confirmés,1339
28,2020-03-25,Cumul de personnes avec analyses négatives,31854
28,2020-03-25,Cumul de cas confirmés,1629
29,2020-03-26,Cumul de personnes avec analyses négatives,32335
29,2020-03-26,Cumul de cas confirmés,2021
30,2020-03-27,Cumul de personnes avec analyses négatives,43589
30,2020-03-27,Cumul de cas confirmés,2498
31,2020-03-28,Cumul de personnes avec analyses négatives,49364
31,2020-03-28,Cumul de cas confirmés,2840
32,2020-03-29,Cumul de personnes avec analyses négatives,56285
32,2020-03-29,Cumul de cas confirmés,3430
33,2020-03-30,Cumul de personnes avec analyses négatives,63378
33,2020-03-30,Cumul de cas confirmés,4162
34,2020-03-31,Cumul de personnes avec analyses négatives,65082
34,2020-03-31,Cumul de cas confirmés,4611
35,2020-04-01,Cumul de personnes avec analyses négatives,69024
35,2020-04-01,Cumul de cas confirmés,5518
36,2020-04-02,Cumul de personnes avec analyses négatives,77469
36,2020-04-02,Cumul de cas confirmés,6101
37,2020-04-03,Cumul de personnes avec analyses négatives,83230
37,2020-04-03,Cumul de cas confirmés,6997
