Date,type,value
2020-02-27,Cumul des personnes avec des analyses négatives,91
2020-02-27,Cumul de cas confirmés,1
2020-02-28,Cumul des personnes avec des analyses négatives,104
2020-02-28,Cumul de cas confirmés,1
2020-02-29,Cumul des personnes avec des analyses négatives,138
2020-02-29,Cumul de cas confirmés,1
2020-03-01,Cumul des personnes avec des analyses négatives,189
2020-03-01,Cumul de cas confirmés,1
2020-03-02,Cumul des personnes avec des analyses négatives,203
2020-03-02,Cumul de cas confirmés,1
2020-03-03,Cumul des personnes avec des analyses négatives,203
2020-03-03,Cumul de cas confirmés,1
2020-03-04,Cumul des personnes avec des analyses négatives,242
2020-03-04,Cumul de cas confirmés,2
2020-03-05,Cumul des personnes avec des analyses négatives,260
2020-03-05,Cumul de cas confirmés,3
2020-03-06,Cumul des personnes avec des analyses négatives,303
2020-03-06,Cumul de cas confirmés,3
2020-03-07,Cumul des personnes avec des analyses négatives,340
2020-03-07,Cumul de cas confirmés,4
2020-03-08,Cumul des personnes avec des analyses négatives,376
2020-03-08,Cumul de cas confirmés,4
2020-03-09,Cumul des personnes avec des analyses négatives,465
2020-03-09,Cumul de cas confirmés,5
2020-03-10,Cumul des personnes avec des analyses négatives,570
2020-03-10,Cumul de cas confirmés,8
2020-03-11,Cumul des personnes avec des analyses négatives,798
2020-03-11,Cumul de cas confirmés,13
2020-03-12,Cumul des personnes avec des analyses négatives,1079
2020-03-12,Cumul de cas confirmés,17
2020-03-13,Cumul des personnes avec des analyses négatives,1399
2020-03-13,Cumul de cas confirmés,24
2020-03-14,Cumul des personnes avec des analyses négatives,2270
2020-03-14,Cumul de cas confirmés,39
2020-03-15,Cumul des personnes avec des analyses négatives,3079
2020-03-15,Cumul de cas confirmés,50
2020-03-16,Cumul des personnes avec des analyses négatives,4778
2020-03-16,Cumul de cas confirmés,74
2020-03-17,Cumul des personnes avec des analyses négatives,5213
2020-03-17,Cumul de cas confirmés,94
2020-03-18,Cumul des personnes avec des analyses négatives,6331
2020-03-18,Cumul de cas confirmés,121
2020-03-19,Cumul des personnes avec des analyses négatives,7666
2020-03-19,Cumul de cas confirmés,139
2020-03-20,Cumul des personnes avec des analyses négatives,9242
2020-03-20,Cumul de cas confirmés,181
2020-03-21,Cumul des personnes avec des analyses négatives,9786
2020-03-21,Cumul de cas confirmés,219
2020-03-22,Cumul des personnes avec des analyses négatives,11211
2020-03-22,Cumul de cas confirmés,628
2020-03-23,Cumul des personnes avec des analyses négatives,12202
2020-03-23,Cumul de cas confirmés,1013
2020-03-24,Cumul des personnes avec des analyses négatives,26634
2020-03-24,Cumul de cas confirmés,1339
2020-03-25,Cumul des personnes avec des analyses négatives,31854
2020-03-25,Cumul de cas confirmés,1629
2020-03-26,Cumul des personnes avec des analyses négatives,32335
2020-03-26,Cumul de cas confirmés,2021
2020-03-27,Cumul des personnes avec des analyses négatives,43589
2020-03-27,Cumul de cas confirmés,2498
2020-03-28,Cumul des personnes avec des analyses négatives,49364
2020-03-28,Cumul de cas confirmés,2840
2020-03-29,Cumul des personnes avec des analyses négatives,56285
2020-03-29,Cumul de cas confirmés,3430
2020-03-30,Cumul des personnes avec des analyses négatives,63378
2020-03-30,Cumul de cas confirmés,4162
2020-03-31,Cumul des personnes avec des analyses négatives,65082
2020-03-31,Cumul de cas confirmés,4611
2020-04-01,Cumul des personnes avec des analyses négatives,69024
2020-04-01,Cumul de cas confirmés,5518
2020-04-02,Cumul des personnes avec des analyses négatives,77469
2020-04-02,Cumul de cas confirmés,6101
2020-04-03,Cumul des personnes avec des analyses négatives,83230
2020-04-03,Cumul de cas confirmés,6997
2020-04-04,Cumul des personnes avec des analyses négatives,87992
2020-04-04,Cumul de cas confirmés,7944
2020-04-05,Cumul des personnes avec des analyses négatives,91533
2020-04-05,Cumul de cas confirmés,8580
2020-04-06,Cumul des personnes avec des analyses négatives,95186
2020-04-06,Cumul de cas confirmés,9340
2020-04-07,Cumul des personnes avec des analyses négatives,99239
2020-04-07,Cumul de cas confirmés,10031
2020-04-08,Cumul des personnes avec des analyses négatives,102463
2020-04-08,Cumul de cas confirmés,10912
