Date,type,value
2020-03-03,Nombre cumulatif de cas,1
2020-03-03,Nouveaux cas,NA
2020-03-04,Nombre cumulatif de cas,2
2020-03-04,Nouveaux cas,1
2020-03-05,Nombre cumulatif de cas,3
2020-03-05,Nouveaux cas,1
2020-03-06,Nombre cumulatif de cas,3
2020-03-06,Nouveaux cas,NA
2020-03-07,Nombre cumulatif de cas,4
2020-03-07,Nouveaux cas,1
2020-03-08,Nombre cumulatif de cas,4
2020-03-08,Nouveaux cas,NA
2020-03-09,Nombre cumulatif de cas,5
2020-03-09,Nouveaux cas,1
2020-03-10,Nombre cumulatif de cas,8
2020-03-10,Nouveaux cas,3
2020-03-11,Nombre cumulatif de cas,13
2020-03-11,Nouveaux cas,5
2020-03-12,Nombre cumulatif de cas,17
2020-03-12,Nouveaux cas,4
2020-03-13,Nombre cumulatif de cas,24
2020-03-13,Nouveaux cas,7
2020-03-14,Nombre cumulatif de cas,39
2020-03-14,Nouveaux cas,15
2020-03-15,Nombre cumulatif de cas,50
2020-03-15,Nouveaux cas,11
2020-03-16,Nombre cumulatif de cas,74
2020-03-16,Nouveaux cas,24
2020-03-17,Nombre cumulatif de cas,94
2020-03-17,Nouveaux cas,20
2020-03-18,Nombre cumulatif de cas,121
2020-03-18,Nouveaux cas,27
2020-03-19,Nombre cumulatif de cas,139
2020-03-19,Nouveaux cas,18
2020-03-20,Nombre cumulatif de cas,181
2020-03-20,Nouveaux cas,42
2020-03-21,Nombre cumulatif de cas,219
2020-03-21,Nouveaux cas,38
2020-03-22,Nombre cumulatif de cas,628
2020-03-22,Nouveaux cas,409
2020-03-23,Nombre cumulatif de cas,1013
2020-03-23,Nouveaux cas,385
2020-03-24,Nombre cumulatif de cas,1339
2020-03-24,Nouveaux cas,326
2020-03-25,Nombre cumulatif de cas,1629
2020-03-25,Nouveaux cas,290
2020-03-26,Nombre cumulatif de cas,2021
2020-03-26,Nouveaux cas,392
2020-03-27,Nombre cumulatif de cas,2498
2020-03-27,Nouveaux cas,477
2020-03-28,Nombre cumulatif de cas,2840
2020-03-28,Nouveaux cas,342
2020-03-29,Nombre cumulatif de cas,3430
2020-03-29,Nouveaux cas,590
2020-03-30,Nombre cumulatif de cas,4162
2020-03-30,Nouveaux cas,732
2020-03-31,Nombre cumulatif de cas,4611
2020-03-31,Nouveaux cas,449
2020-04-01,Nombre cumulatif de cas,5518
2020-04-01,Nouveaux cas,907
2020-04-02,Nombre cumulatif de cas,6101
2020-04-02,Nouveaux cas,583
2020-04-03,Nombre cumulatif de cas,6997
2020-04-03,Nouveaux cas,896
2020-04-04,Nombre cumulatif de cas,7944
2020-04-04,Nouveaux cas,947
2020-04-05,Nombre cumulatif de cas,8580
2020-04-05,Nouveaux cas,636
2020-04-06,Nombre cumulatif de cas,9340
2020-04-06,Nouveaux cas,760
2020-04-07,Nombre cumulatif de cas,10031
2020-04-07,Nouveaux cas,691
2020-04-08,Nombre cumulatif de cas,10912
2020-04-08,Nouveaux cas,881
