ID,Date,type,value
1,2020-03-18,Nombre cumulatif de décès,1
1,2020-03-18,Nouveaux décès,NA
2,2020-03-19,Nombre cumulatif de décès,1
2,2020-03-19,Nouveaux décès,NA
3,2020-03-20,Nombre cumulatif de décès,4
3,2020-03-20,Nouveaux décès,3
4,2020-03-21,Nombre cumulatif de décès,4
4,2020-03-21,Nouveaux décès,NA
5,2020-03-22,Nombre cumulatif de décès,4
5,2020-03-22,Nouveaux décès,NA
6,2020-03-23,Nombre cumulatif de décès,4
6,2020-03-23,Nouveaux décès,NA
7,2020-03-24,Nombre cumulatif de décès,6
7,2020-03-24,Nouveaux décès,2
8,2020-03-25,Nombre cumulatif de décès,8
8,2020-03-25,Nouveaux décès,2
9,2020-03-26,Nombre cumulatif de décès,18
9,2020-03-26,Nouveaux décès,10
10,2020-03-27,Nombre cumulatif de décès,22
10,2020-03-27,Nouveaux décès,4
11,2020-03-28,Nombre cumulatif de décès,22
11,2020-03-28,Nouveaux décès,NA
12,2020-03-29,Nombre cumulatif de décès,25
12,2020-03-29,Nouveaux décès,3
13,2020-03-30,Nombre cumulatif de décès,31
13,2020-03-30,Nouveaux décès,6
14,2020-03-31,Nombre cumulatif de décès,33
14,2020-03-31,Nouveaux décès,2
