Date,type,value
2020-03-18,Nombre cumulatif de décès,1
2020-03-18,Nouveaux décès,NA
2020-03-19,Nombre cumulatif de décès,1
2020-03-19,Nouveaux décès,NA
2020-03-20,Nombre cumulatif de décès,4
2020-03-20,Nouveaux décès,3
2020-03-21,Nombre cumulatif de décès,4
2020-03-21,Nouveaux décès,NA
2020-03-22,Nombre cumulatif de décès,4
2020-03-22,Nouveaux décès,NA
2020-03-23,Nombre cumulatif de décès,4
2020-03-23,Nouveaux décès,NA
2020-03-24,Nombre cumulatif de décès,6
2020-03-24,Nouveaux décès,2
2020-03-25,Nombre cumulatif de décès,8
2020-03-25,Nouveaux décès,2
2020-03-26,Nombre cumulatif de décès,18
2020-03-26,Nouveaux décès,10
2020-03-27,Nombre cumulatif de décès,22
2020-03-27,Nouveaux décès,4
2020-03-28,Nombre cumulatif de décès,22
2020-03-28,Nouveaux décès,NA
2020-03-29,Nombre cumulatif de décès,25
2020-03-29,Nouveaux décès,3
2020-03-30,Nombre cumulatif de décès,31
2020-03-30,Nouveaux décès,6
2020-03-31,Nombre cumulatif de décès,33
2020-03-31,Nouveaux décès,2
2020-04-01,Nombre cumulatif de décès,36
2020-04-01,Nouveaux décès,3
2020-04-02,Nombre cumulatif de décès,61
2020-04-02,Nouveaux décès,25
2020-04-03,Nombre cumulatif de décès,75
2020-04-03,Nouveaux décès,14
2020-04-04,Nombre cumulatif de décès,94
2020-04-04,Nouveaux décès,19
2020-04-05,Nombre cumulatif de décès,121
2020-04-05,Nouveaux décès,27
2020-04-06,Nombre cumulatif de décès,150
2020-04-06,Nouveaux décès,29
2020-04-07,Nombre cumulatif de décès,175
2020-04-07,Nouveaux décès,25
2020-04-08,Nombre cumulatif de décès,216
2020-04-08,Nouveaux décès,41
